ammo,blast_strength,can_kick,entity_0,entity_1,entity_2,entity_3,entity_4,entity_5,entity_6,entity_7,entity_8,action
1,2,False,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,1
1,2,False,wooden,passage,wooden,passage,self,rigid,passage,passage,rigid,3
1,2,False,passage,wooden,passage,wooden,self,passage,passage,passage,passage,5
0,2,False,passage,wooden,passage,wooden,bomb,passage,passage,passage,passage,4
0,2,False,wooden,passage,wooden,bomb,self,rigid,passage,passage,rigid,2
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
0,2,False,bomb,passage,rigid,passage,self,rigid,rigid,rigid,passage,0
1,2,False,flame,flame,rigid,flame,self,rigid,rigid,rigid,passage,0
1,2,False,flame,flame,rigid,flame,self,rigid,rigid,rigid,passage,0
1,2,False,flame,flame,rigid,flame,self,rigid,rigid,rigid,passage,0
1,2,False,passage,passage,rigid,passage,self,rigid,rigid,rigid,passage,3
1,2,False,passage,passage,passage,passage,self,passage,wooden,rigid,rigid,1
1,2,False,passage,item,passage,passage,self,passage,passage,passage,passage,1
1,3,False,passage,rigid,wooden,passage,self,passage,passage,passage,passage,4
1,3,False,rigid,wooden,wooden,passage,self,wooden,passage,passage,rigid,5
0,3,False,rigid,wooden,wooden,passage,bomb,wooden,passage,passage,rigid,3
0,3,False,passage,rigid,wooden,passage,self,bomb,passage,passage,passage,3
0,3,False,passage,passage,rigid,passage,self,passage,rigid,passage,passage,3
0,3,False,rigid,passage,passage,wooden,self,passage,passage,rigid,passage,1
0,3,False,passage,rigid,wooden,rigid,self,passage,wooden,passage,passage,4
0,3,False,rigid,wooden,passage,passage,self,rigid,passage,passage,passage,0
